BELO HORIZONTE;665.401.323,01;['FPM - FUNDO DE PARTICIPACAO DOS MUNICIPIOS', 'FEP - FUNDO ESPECIAL DO PETROLEO', 'ITR - IMPOSTO TERRITORIAL RURAL', 'ICS - ICMS ESTADUAL', 'CFM - DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL', 'IPM - IPI EXPORTACAO - COTA MUNICIPIO', 'ISS - IMPOSTO SOBRE SERVICO - STN CONVENIO', 'CID - CIDE-CONTRIB. INTERVENCAO DOMINIO ECONOMICO', 'FUNDEB - FNDO MANUT DES EDUC BASICA E VLRIZ PROF EDUC', 'SNA - SIMPLES NACIONAL', 'IPV - IPVA-IMPOSTO SOBRE PROP. VEICULOS AUTOMOTORES', 'ICJ - ICMS ESTADUAL - AJUSTE', 'ADO - LC 176/2020 (ADO25)']
SABARA;41.219.140,17;['FPM - FUNDO DE PARTICIPACAO DOS MUNICIPIOS', 'FEP - FUNDO ESPECIAL DO PETROLEO', 'ITR - IMPOSTO TERRITORIAL RURAL', 'ICS - ICMS ESTADUAL', 'CFM - DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL', 'IPM - IPI EXPORTACAO - COTA MUNICIPIO', 'CID - CIDE-CONTRIB. INTERVENCAO DOMINIO ECONOMICO', 'FUNDEB - FNDO MANUT DES EDUC BASICA E VLRIZ PROF EDUC', 'SNA - SIMPLES NACIONAL', 'IPV - IPVA-IMPOSTO SOBRE PROP. VEICULOS AUTOMOTORES', 'ICJ - ICMS ESTADUAL - AJUSTE', 'ADO - LC 176/2020 (ADO25)']
OURO PRETO;49.139.572,95;['FPM - FUNDO DE PARTICIPACAO DOS MUNICIPIOS', 'FEP - FUNDO ESPECIAL DO PETROLEO', 'ITR - IMPOSTO TERRITORIAL RURAL', 'ICS - ICMS ESTADUAL', 'CFM - DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL', 'IPM - IPI EXPORTACAO - COTA MUNICIPIO', 'ISS - IMPOSTO SOBRE SERVICO - STN CONVENIO', 'CID - CIDE-CONTRIB. INTERVENCAO DOMINIO ECONOMICO', 'FUNDEB - FNDO MANUT DES EDUC BASICA E VLRIZ PROF EDUC', 'SNA - SIMPLES NACIONAL', 'IPV - IPVA-IMPOSTO SOBRE PROP. VEICULOS AUTOMOTORES', 'ADO - LC 176/2020 (ADO25)']
BETIM;237.963.200,95;['FPM - FUNDO DE PARTICIPACAO DOS MUNICIPIOS', 'FEP - FUNDO ESPECIAL DO PETROLEO', 'ITR - IMPOSTO TERRITORIAL RURAL', 'ICS - ICMS ESTADUAL', 'ANP - ROYALTIES DA ANP', 'CFM - DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL', 'IPM - IPI EXPORTACAO - COTA MUNICIPIO', 'ISS - IMPOSTO SOBRE SERVICO - STN CONVENIO', 'CID - CIDE-CONTRIB. INTERVENCAO DOMINIO ECONOMICO', 'FUNDEB - FNDO MANUT DES EDUC BASICA E VLRIZ PROF EDUC', 'SNA - SIMPLES NACIONAL', 'IPV - IPVA-IMPOSTO SOBRE PROP. VEICULOS AUTOMOTORES', 'ICJ - ICMS ESTADUAL - AJUSTE', 'ADO - LC 176/2020 (ADO25)']
RIO ACIMA;11.431.838,30;['FPM - FUNDO DE PARTICIPACAO DOS MUNICIPIOS', 'FEP - FUNDO ESPECIAL DO PETROLEO', 'ITR - IMPOSTO TERRITORIAL RURAL', 'ICS - ICMS ESTADUAL', 'CFM - DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL', 'FUS - FUNDO SAUDE', 'IPM - IPI EXPORTACAO - COTA MUNICIPIO', 'CID - CIDE-CONTRIB. INTERVENCAO DOMINIO ECONOMICO', 'FUNDEB - FNDO MANUT DES EDUC BASICA E VLRIZ PROF EDUC', 'SNA - SIMPLES NACIONAL', 'IPV - IPVA-IMPOSTO SOBRE PROP. VEICULOS AUTOMOTORES', 'ICJ - ICMS ESTADUAL - AJUSTE', 'ADO - LC 176/2020 (ADO25)']
MONTES CLAROS;85.445.981,87;['FPM - FUNDO DE PARTICIPACAO DOS MUNICIPIOS', 'FEP - FUNDO ESPECIAL DO PETROLEO', 'ITR - IMPOSTO TERRITORIAL RURAL', 'ICS - ICMS ESTADUAL', 'CFM - DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL', 'IPM - IPI EXPORTACAO - COTA MUNICIPIO', 'ISS - IMPOSTO SOBRE SERVICO - STN CONVENIO', 'CID - CIDE-CONTRIB. INTERVENCAO DOMINIO ECONOMICO', 'FUNDEB - FNDO MANUT DES EDUC BASICA E VLRIZ PROF EDUC', 'SNA - SIMPLES NACIONAL', 'IPV - IPVA-IMPOSTO SOBRE PROP. VEICULOS AUTOMOTORES', 'ICJ - ICMS ESTADUAL - AJUSTE', 'ADO - LC 176/2020 (ADO25)']
JUIZ DE FORA;120.227.278,67;['FPM - FUNDO DE PARTICIPACAO DOS MUNICIPIOS', 'FEP - FUNDO ESPECIAL DO PETROLEO', 'ITR - IMPOSTO TERRITORIAL RURAL', 'ICS - ICMS ESTADUAL', 'ANP - ROYALTIES DA ANP', 'CFM - DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL', 'CFH - COMPENSACAO FINANCEIRA RECURSOS HIDRICOS', 'IPM - IPI EXPORTACAO - COTA MUNICIPIO', 'CID - CIDE-CONTRIB. INTERVENCAO DOMINIO ECONOMICO', 'FUNDEB - FNDO MANUT DES EDUC BASICA E VLRIZ PROF EDUC', 'SNA - SIMPLES NACIONAL', 'IPV - IPVA-IMPOSTO SOBRE PROP. VEICULOS AUTOMOTORES', 'ADO - LC 176/2020 (ADO25)']
CONTAGEM;189.580.917,12;['FPM - FUNDO DE PARTICIPACAO DOS MUNICIPIOS', 'FEP - FUNDO ESPECIAL DO PETROLEO', 'ITR - IMPOSTO TERRITORIAL RURAL', 'ICS - ICMS ESTADUAL', 'CFM - DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL', 'IPM - IPI EXPORTACAO - COTA MUNICIPIO', 'CID - CIDE-CONTRIB. INTERVENCAO DOMINIO ECONOMICO', 'FUNDEB - FNDO MANUT DES EDUC BASICA E VLRIZ PROF EDUC', 'SNA - SIMPLES NACIONAL', 'IPV - IPVA-IMPOSTO SOBRE PROP. VEICULOS AUTOMOTORES', 'ADO - LC 176/2020 (ADO25)']
MARIANA;60.416.102,19;['FPM - FUNDO DE PARTICIPACAO DOS MUNICIPIOS', 'FEP - FUNDO ESPECIAL DO PETROLEO', 'ITR - IMPOSTO TERRITORIAL RURAL', 'ICS - ICMS ESTADUAL', 'CFM - DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL', 'IPM - IPI EXPORTACAO - COTA MUNICIPIO', 'ISS - IMPOSTO SOBRE SERVICO - STN CONVENIO', 'CID - CIDE-CONTRIB. INTERVENCAO DOMINIO ECONOMICO', 'FUNDEB - FNDO MANUT DES EDUC BASICA E VLRIZ PROF EDUC', 'SNA - SIMPLES NACIONAL', 'IPV - IPVA-IMPOSTO SOBRE PROP. VEICULOS AUTOMOTORES', 'ICJ - ICMS ESTADUAL - AJUSTE', 'ADO - LC 176/2020 (ADO25)']
UBERABA;118.933.774,27;['FPM - FUNDO DE PARTICIPACAO DOS MUNICIPIOS', 'FEP - FUNDO ESPECIAL DO PETROLEO', 'ITR - IMPOSTO TERRITORIAL RURAL', 'ICS - ICMS ESTADUAL', 'CFM - DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL', 'CFH - COMPENSACAO FINANCEIRA RECURSOS HIDRICOS', 'ITA - ROYALTIES DE ITAIPU', 'IPM - IPI EXPORTACAO - COTA MUNICIPIO', 'ISS - IMPOSTO SOBRE SERVICO - STN CONVENIO', 'CID - CIDE-CONTRIB. INTERVENCAO DOMINIO ECONOMICO', 'FUNDEB - FNDO MANUT DES EDUC BASICA E VLRIZ PROF EDUC', 'SNA - SIMPLES NACIONAL', 'IPV - IPVA-IMPOSTO SOBRE PROP. VEICULOS AUTOMOTORES', 'ADO - LC 176/2020 (ADO25)']
